id,op_code,instruction,output
103,f6730500,  %M43    ,0
104,f6740500,  %M44    ,0
105,f6750500,  %M45    ,0
106,f6760500,  %M46    ,0
107,f6770500,  %M47    ,0
108,f6700600,  %M48    ,0
109,f6710600,  %M49    ,0
110,f6720600,  %M50    ,0
111,f6730600,  %M51    ,0
112,f6740600,  %M52    ,0
113,f6750600,  %M53    ,0
114,f6760600,  %M54    ,0
115,f6770600,  %M55    ,0
116,f6700700,  %M56    ,0
117,f6710700,  %M57    ,0
118,f6720700,  %M58    ,0
119,f6730700,  %M59    ,0
120,f6740700,  %M60    ,0
121,f6750700,  %M61    ,0
122,f6760700,  %M62    ,0
123,f6770700,  %M63    ,0
124,f6700800,  %M64    ,0
125,f6710800,  %M65    ,0
126,f6720800,  %M66    ,0
127,f6730800,  %M67    ,0
128,f6740800,  %M68    ,0
129,f6750800,  %M69    ,0
130,f6760800,  %M70    ,0
131,f6770800,  %M71    ,0
132,f6700900,  %M72    ,0
133,f6710900,  %M73    ,0
134,f6720900,  %M74    ,0
135,f6730900,  %M75    ,0
136,f6740900,  %M76    ,0
137,f6750900,  %M77    ,0
138,f6760900,  %M78    ,0
139,f6770900,  %M79    ,0
140,f6700a00,  %M80    ,0
141,f6710a00,  %M81    ,0
142,f6720a00,  %M82    ,0
143,f6730a00,  %M83    ,0
144,f6740a00,  %M84    ,0
145,f6750a00,  %M85    ,0
146,f6760a00,  %M86    ,0
147,f6770a00,  %M87    ,0
148,f6700b00,  %M88    ,0
149,f6710b00,  %M89    ,0
150,f6720b00,  %M90    ,0
151,f6730b00,  %M91    ,0
152,f6740b00,  %M92    ,0
153,f6750b00,  %M93    ,0
154,f6760b00,  %M94    ,0
155,f6770b00,  %M95    ,0
156,f6700c00,  %M96    ,0
157,f6710c00,  %M97    ,0
158,f6720c00,  %M98    ,0
159,f6730c00,  %M99    ,0
160,f6740c00,  %M100    ,0
161,f6750c00,  %M101    ,0
162,f6760c00,  %M102    ,0
163,f6770c00,  %M103    ,0
164,f6700d00,  %M104    ,0
165,f6710d00,  %M105    ,0
166,f6720d00,  %M106    ,0
167,f6730d00,  %M107    ,0
168,f6740d00,  %M108    ,0
169,f6750d00,  %M109    ,0
170,f6760d00,  %M110    ,0
171,f6770d00,  %M111    ,0
172,f6700e00,  %M112    ,0
173,f6710e00,  %M113    ,0
174,f6720e00,  %M114    ,0
175,f6730e00,  %M115    ,0
176,f6740e00,  %M116    ,0
177,f6750e00,  %M117    ,0
178,f6760e00,  %M118    ,0
179,f6770e00,  %M119    ,0
180,f6700f00,  %M120    ,0
181,f6710f00,  %M121    ,0
182,f6720f00,  %M122    ,0
183,f6730f00,  %M123    ,0
184,f6740f00,  %M124    ,0
185,f6750f00,  %M125    ,0
186,f6760f00,  %M126    ,0
187,f6770f00,  %M127    ,0
188,f6701000,  %M128    ,0
189,f6711000,  %M129    ,0
190,f6721000,  %M130    ,0
191,f6731000,  %M131    ,0
192,f6741000,  %M132    ,0
193,f6751000,  %M133    ,0
194,f6761000,  %M134    ,0
195,f6771000,  %M135    ,0
196,f6701100,  %M136    ,0
197,f6711100,  %M137    ,0
198,f6721100,  %M138    ,0
199,f6731100,  %M139    ,0
200,f6741100,  %M140    ,0
201,f6751100,  %M141    ,0
202,f6761100,  %M142    ,0
203,f6771100,  %M143    ,0
204,f6701200,  %M144    ,0
205,f6711200,  %M145    ,0
206,f6721200,  %M146    ,0
207,f6731200,  %M147    ,0
208,f6741200,  %M148    ,0
209,f6751200,  %M149    ,0
210,f6761200,  %M150    ,0
211,f6771200,  %M151    ,0
212,f6701300,  %M152    ,0
213,f6711300,  %M153    ,0
214,f6721300,  %M154    ,0
215,f6731300,  %M155    ,0
216,f6741300,  %M156    ,0
217,f6751300,  %M157    ,0
218,f6761300,  %M158    ,0
219,f6771300,  %M159    ,0
220,f6701400,  %M160    ,0
221,f6711400,  %M161    ,0
222,f6721400,  %M162    ,0
223,f6731400,  %M163    ,0
224,f6741400,  %M164    ,0
225,f6751400,  %M165    ,0
226,f6761400,  %M166    ,0
227,f6771400,  %M167    ,0
228,f6701500,  %M168    ,0
229,f6711500,  %M169    ,0
230,f6721500,  %M170    ,0
231,f6731500,  %M171    ,0
232,f6741500,  %M172    ,0
233,f6751500,  %M173    ,0
234,f6761500,  %M174    ,0
235,f6771500,  %M175    ,0
236,f6701600,  %M176    ,0
237,f6711600,  %M177    ,0
238,f6721600,  %M178    ,0
239,f6731600,  %M179    ,0
240,f6741600,  %M180    ,0
241,f6751600,  %M181    ,0
242,f6761600,  %M182    ,0
243,f6771600,  %M183    ,0
244,f6701700,  %M184    ,0
245,f6711700,  %M185    ,0
246,f6721700,  %M186    ,0
247,f6731700,  %M187    ,0
248,f6741700,  %M188    ,0
249,f6751700,  %M189    ,0
250,f6761700,  %M190    ,0
251,f6771700,  %M191    ,0
252,f6701800,  %M192    ,0
253,f6711800,  %M193    ,0
254,f6721800,  %M194    ,0
255,f6731800,  %M195    ,0
256,f6741800,  %M196    ,0
257,f6751800,  %M197    ,0
258,f6761800,  %M198    ,0
259,f6771800,  %M199    ,0
260,f6701900,  %M200    ,0
261,f6711900,  %M201    ,0
262,f6721900,  %M202    ,0
263,f6731900,  %M203    ,0
264,f6741900,  %M204    ,0
265,f6751900,  %M205    ,0
266,f6761900,  %M206    ,0
267,f6771900,  %M207    ,0
268,f6701a00,  %M208    ,0
269,f6711a00,  %M209    ,0
270,f6721a00,  %M210    ,0
271,f6731a00,  %M211    ,0
272,f6741a00,  %M212    ,0
273,f6751a00,  %M213    ,0
274,f6761a00,  %M214    ,0
275,f6771a00,  %M215    ,0
276,f6701b00,  %M216    ,0
277,f6711b00,  %M217    ,0
278,f6721b00,  %M218    ,0
279,f6731b00,  %M219    ,0
280,f6741b00,  %M220    ,0
281,f6751b00,  %M221    ,0
282,f6761b00,  %M222    ,0
283,f6771b00,  %M223    ,0
284,f6701c00,  %M224    ,0
285,f6711c00,  %M225    ,0
286,f6721c00,  %M226    ,0
287,f6731c00,  %M227    ,0
288,f6741c00,  %M228    ,0
289,f6751c00,  %M229    ,0
290,f6761c00,  %M230    ,0
291,f6771c00,  %M231    ,0
292,f6701d00,  %M232    ,0
293,f6711d00,  %M233    ,0
294,f6721d00,  %M234    ,0
295,f6731d00,  %M235    ,0
296,f6741d00,  %M236    ,0
297,f6751d00,  %M237    ,0
298,f6761d00,  %M238    ,0
299,f6771d00,  %M239    ,0
300,f6701e00,  %M240    ,0
301,f6711e00,  %M241    ,0
302,f6721e00,  %M242    ,0
303,f6731e00,  %M243    ,0
304,f6741e00,  %M244    ,0
305,f6751e00,  %M245    ,0
306,f6761e00,  %M246    ,0
307,f6771e00,  %M247    ,0
308,f6701f00,  %M248    ,0
309,f6711f00,  %M249    ,0
310,f6721f00,  %M250    ,0
311,f6731f00,  %M251    ,0
312,f6741f00,  %M252    ,0
313,f6751f00,  %M253    ,0
314,f6761f00,  %M254    ,0
315,f6771f00,  %M255    ,0
316,f6702000,  %M256    ,0
317,f6712000,  %M257    ,0
318,f6722000,  %M258    ,0
319,f6732000,  %M259    ,0
320,f6742000,  %M260    ,0
321,f6752000,  %M261    ,0
322,f6762000,  %M262    ,0
323,f6772000,  %M263    ,0
324,f6702100,  %M264    ,0
325,f6712100,  %M265    ,0
326,f6722100,  %M266    ,0
327,f6732100,  %M267    ,0
328,f6742100,  %M268    ,0
329,f6752100,  %M269    ,0
330,f6762100,  %M270    ,0
331,f6772100,  %M271    ,0
332,f6702200,  %M272    ,0
333,f6712200,  %M273    ,0
334,f6722200,  %M274    ,0
335,f6732200,  %M275    ,0
336,f6742200,  %M276    ,0
337,f6752200,  %M277    ,0
338,f6762200,  %M278    ,0
339,f6772200,  %M279    ,0
340,f6702300,  %M280    ,0
341,f6712300,  %M281    ,0
342,f6722300,  %M282    ,0
343,f6732300,  %M283    ,0
344,f6742300,  %M284    ,0
345,f6752300,  %M285    ,0
346,f6762300,  %M286    ,0
347,f6772300,  %M287    ,0
348,f6702400,  %M288    ,0
349,f6712400,  %M289    ,0
350,f6722400,  %M290    ,0
351,f6732400,  %M291    ,0
352,f6742400,  %M292    ,0
353,f6752400,  %M293    ,0
354,f6762400,  %M294    ,0
355,f6772400,  %M295    ,0
356,f6702500,  %M296    ,0
357,f6712500,  %M297    ,0
358,f6722500,  %M298    ,0
359,f6732500,  %M299    ,0
360,f6742500,  %M300    ,0
361,f6752500,  %M301    ,0
362,f6762500,  %M302    ,0
363,f6772500,  %M303    ,0
364,f6702600,  %M304    ,0
365,f6712600,  %M305    ,0
366,f6722600,  %M306    ,0
367,f6732600,  %M307    ,0
368,f6742600,  %M308    ,0
369,f6752600,  %M309    ,0
370,f6762600,  %M310    ,0
371,f6772600,  %M311    ,0
372,f6702700,  %M312    ,0
373,f6712700,  %M313    ,0
374,f6722700,  %M314    ,0
375,f6732700,  %M315    ,0
376,f6742700,  %M316    ,0
377,f6752700,  %M317    ,0
378,f6762700,  %M318    ,0
379,f6772700,  %M319    ,0
380,f6702800,  %M320    ,0
381,f6712800,  %M321    ,0
382,f6722800,  %M322    ,0
383,f6732800,  %M323    ,0
384,f6742800,  %M324    ,0
385,f6752800,  %M325    ,0
386,f6762800,  %M326    ,0
387,f6772800,  %M327    ,0
388,f6702900,  %M328    ,0
389,f6712900,  %M329    ,0
390,f6722900,  %M330    ,0
391,f6732900,  %M331    ,0
392,f6742900,  %M332    ,0
393,f6752900,  %M333    ,0
394,f6762900,  %M334    ,0
395,f6772900,  %M335    ,0
396,f6702a00,  %M336    ,0
397,f6712a00,  %M337    ,0
398,f6722a00,  %M338    ,0
399,f6732a00,  %M339    ,0
400,f6742a00,  %M340    ,0
401,f6752a00,  %M341    ,0
402,f6762a00,  %M342    ,0
403,f6772a00,  %M343    ,0
404,f6702b00,  %M344    ,0
405,f6712b00,  %M345    ,0
406,f6722b00,  %M346    ,0
407,f6732b00,  %M347    ,0
408,f6742b00,  %M348    ,0
409,f6752b00,  %M349    ,0
410,f6762b00,  %M350    ,0
411,f6772b00,  %M351    ,0
412,f6702c00,  %M352    ,0
413,f6712c00,  %M353    ,0
414,f6722c00,  %M354    ,0
415,f6732c00,  %M355    ,0
416,f6742c00,  %M356    ,0
417,f6752c00,  %M357    ,0
418,f6762c00,  %M358    ,0
419,f6772c00,  %M359    ,0
420,f6702d00,  %M360    ,0
421,f6712d00,  %M361    ,0
422,f6722d00,  %M362    ,0
423,f6732d00,  %M363    ,0
424,f6742d00,  %M364    ,0
425,f6752d00,  %M365    ,0
426,f6762d00,  %M366    ,0
427,f6772d00,  %M367    ,0
428,f6702e00,  %M368    ,0
429,f6712e00,  %M369    ,0
430,f6722e00,  %M370    ,0
431,f6732e00,  %M371    ,0
432,f6742e00,  %M372    ,0
433,f6752e00,  %M373    ,0
434,f6762e00,  %M374    ,0
435,f6772e00,  %M375    ,0
436,f6702f00,  %M376    ,0
437,f6712f00,  %M377    ,0
438,f6722f00,  %M378    ,0
439,f6732f00,  %M379    ,0
440,f6742f00,  %M380    ,0
441,f6752f00,  %M381    ,0
442,f6762f00,  %M382    ,0
443,f6772f00,  %M383    ,0
444,f6703000,  %M384    ,0
445,f6713000,  %M385    ,0
446,f6723000,  %M386    ,0
447,f6733000,  %M387    ,0
448,f6743000,  %M388    ,0
449,f6753000,  %M389    ,0
450,f6763000,  %M390    ,0
451,f6773000,  %M391    ,0
452,f6703100,  %M392    ,0
453,f6713100,  %M393    ,0
454,f6723100,  %M394    ,0
455,f6733100,  %M395    ,0
456,f6743100,  %M396    ,0
457,f6753100,  %M397    ,0
458,f6763100,  %M398    ,0
459,f6773100,  %M399    ,0
460,f6703200,  %M400    ,0
461,f6713200,  %M401    ,0
462,f6723200,  %M402    ,0
463,f6733200,  %M403    ,0
464,f6743200,  %M404    ,0
465,f6753200,  %M405    ,0
466,f6763200,  %M406    ,0
467,f6773200,  %M407    ,0
468,f6703300,  %M408    ,0
469,f6713300,  %M409    ,0
470,f6723300,  %M410    ,0
471,f6733300,  %M411    ,0
472,f6743300,  %M412    ,0
473,f6753300,  %M413    ,0
474,f6763300,  %M414    ,0
475,f6773300,  %M415    ,0
476,f6703400,  %M416    ,0
477,f6713400,  %M417    ,0
478,f6723400,  %M418    ,0
479,f6733400,  %M419    ,0
480,f6743400,  %M420    ,0
481,f6753400,  %M421    ,0
482,f6763400,  %M422    ,0
483,f6773400,  %M423    ,0
484,f6703500,  %M424    ,0
485,f6713500,  %M425    ,0
486,f6723500,  %M426    ,0
487,f6733500,  %M427    ,0
488,f6743500,  %M428    ,0
489,f6753500,  %M429    ,0
490,f6763500,  %M430    ,0
491,f6773500,  %M431    ,0
492,f6703600,  %M432    ,0
493,f6713600,  %M433    ,0
494,f6723600,  %M434    ,0
495,f6733600,  %M435    ,0
496,f6743600,  %M436    ,0
497,f6753600,  %M437    ,0
498,f6763600,  %M438    ,0
499,f6773600,  %M439    ,0
500,f6703700,  %M440    ,0
501,f6713700,  %M441    ,0
502,f6723700,  %M442    ,0
503,f6733700,  %M443    ,0
504,f6743700,  %M444    ,0
505,f6753700,  %M445    ,0
506,f6763700,  %M446    ,0
507,f6773700,  %M447    ,0
508,f6703800,  %M448    ,0
509,f6713800,  %M449    ,0
510,f6723800,  %M450    ,0
511,f6733800,  %M451    ,0
512,f6743800,  %M452    ,0
513,f6753800,  %M453    ,0
514,f6763800,  %M454    ,0
515,f6773800,  %M455    ,0
516,f6703900,  %M456    ,0
517,f6713900,  %M457    ,0
518,f6723900,  %M458    ,0
519,f6733900,  %M459    ,0
520,f6743900,  %M460    ,0
521,f6753900,  %M461    ,0
522,f6763900,  %M462    ,0
523,f6773900,  %M463    ,0
524,f6703a00,  %M464    ,0
525,f6713a00,  %M465    ,0
526,f6723a00,  %M466    ,0
527,f6733a00,  %M467    ,0
528,f6743a00,  %M468    ,0
529,f6753a00,  %M469    ,0
530,f6763a00,  %M470    ,0
531,f6773a00,  %M471    ,0
532,f6703b00,  %M472    ,0
533,f6713b00,  %M473    ,0
534,f6723b00,  %M474    ,0
535,f6733b00,  %M475    ,0
536,f6743b00,  %M476    ,0
537,f6753b00,  %M477    ,0
538,f6763b00,  %M478    ,0
539,f6773b00,  %M479    ,0
540,f6703c00,  %M480    ,0
541,f6713c00,  %M481    ,0
542,f6723c00,  %M482    ,0
543,f6733c00,  %M483    ,0
544,f6743c00,  %M484    ,0
545,f6753c00,  %M485    ,0
546,f6763c00,  %M486    ,0
547,f6773c00,  %M487    ,0
548,f6703d00,  %M488    ,0
549,f6713d00,  %M489    ,0
550,f6723d00,  %M490    ,0
551,f6733d00,  %M491    ,0
552,f6743d00,  %M492    ,0
553,f6753d00,  %M493    ,0
554,f6763d00,  %M494    ,0
555,f6773d00,  %M495    ,0
556,f6703e00,  %M496    ,0
557,f6713e00,  %M497    ,0
558,f6723e00,  %M498    ,0
559,f6733e00,  %M499    ,0
560,f6743e00,  %M500    ,0
561,f6753e00,  %M501    ,0
562,f6763e00,  %M502    ,0
563,f6773e00,  %M503    ,0
564,f6703f00,  %M504    ,0
565,f6713f00,  %M505    ,0
566,f6723f00,  %M506    ,0
567,f6733f00,  %M507    ,0
568,f6743f00,  %M508    ,0
569,f6753f00,  %M509    ,0
570,f6763f00,  %M510    ,0
571,f6773f00,  %M511    ,0
1084,e2730000,N %M0    ,1
1085,e6730000,N %M1    ,1
1086,ea730000,N %M2    ,1
1087,ee730000,N %M3    ,1
1088,f2730000,N %M4    ,1
1089,fcf67300,STN %M5,1
1090,fa730000,N %M6    ,1
1091,fe730000,N %M7    ,1
1092,e2730100,N %M8    ,1
1093,e6730100,N %M9    ,1
1094,ea730100,N %M10    ,1
1095,ee730100,N %M11    ,1
1096,f2730100,N %M12    ,1
1097,f6730100,N %M13    ,1
1098,fa730100,N %M14    ,1
1099,fe730100,N %M15    ,1
1100,e2730200,N %M16    ,1
1101,e6730200,N %M17    ,1
1102,ea730200,N %M18    ,1
1103,ee730200,N %M19    ,1
1104,f2730200,N %M20    ,1
1105,f6730200,N %M21    ,1
1106,fa730200,N %M22    ,1
1107,fe730200,N %M23    ,1
1108,e2730300,N %M24    ,1
1109,e6730300,N %M25    ,1
1110,ea730300,N %M26    ,1
1111,ee730300,N %M27    ,1
1112,f2730300,N %M28    ,1
1113,f6730300,N %M29    ,1
1114,fa730300,N %M30    ,1
1115,fe730300,N %M31    ,1
1116,e2730400,N %M32    ,1
1117,e6730400,N %M33    ,1
1118,ea730400,N %M34    ,1
1119,ee730400,N %M35    ,1
1120,f2730400,N %M36    ,1
1121,f6730400,N %M37    ,1
1122,fa730400,N %M38    ,1
1123,fe730400,N %M39    ,1
1124,e2730500,N %M40    ,1
1125,e6730500,N %M41    ,1
1126,ea730500,N %M42    ,1
1127,ee730500,N %M43    ,1
1128,f2730500,N %M44    ,1
1129,f6730500,N %M45    ,1
1130,fa730500,N %M46    ,1
1131,fe730500,N %M47    ,1
1132,e2730600,N %M48    ,1
1133,e6730600,N %M49    ,1
1134,ea730600,N %M50    ,1
1135,ee730600,N %M51    ,1
1136,f2730600,N %M52    ,1
1137,f6730600,N %M53    ,1
1138,fa730600,N %M54    ,1
1139,fe730600,N %M55    ,1
1140,e2730700,N %M56    ,1
1141,e6730700,N %M57    ,1
1142,ea730700,N %M58    ,1
1143,ee730700,N %M59    ,1
1144,f2730700,N %M60    ,1
1145,f6730700,N %M61    ,1
1146,fa730700,N %M62    ,1
1147,fe730700,N %M63    ,1
1148,e2730800,N %M64    ,1
1149,e6730800,N %M65    ,1
1150,ea730800,N %M66    ,1
1151,ee730800,N %M67    ,1
1152,f2730800,N %M68    ,1
1153,f6730800,N %M69    ,1
1154,fa730800,N %M70    ,1
1155,fe730800,N %M71    ,1
1156,e2730900,N %M72    ,1
1157,e6730900,N %M73    ,1
1158,ea730900,N %M74    ,1
1159,ee730900,N %M75    ,1
1160,f2730900,N %M76    ,1
1161,f6730900,N %M77    ,1
1162,fa730900,N %M78    ,1
1163,fe730900,N %M79    ,1
1164,e2730a00,N %M80    ,1
1165,e6730a00,N %M81    ,1
1166,ea730a00,N %M82    ,1
1167,ee730a00,N %M83    ,1
1168,f2730a00,N %M84    ,1
1169,f6730a00,N %M85    ,1
1170,fa730a00,N %M86    ,1
1171,fe730a00,N %M87    ,1
1172,e2730b00,N %M88    ,1
1173,e6730b00,N %M89    ,1
1174,ea730b00,N %M90    ,1
1175,ee730b00,N %M91    ,1
1176,f2730b00,N %M92    ,1
1177,f6730b00,N %M93    ,1
1178,fa730b00,N %M94    ,1
1179,fe730b00,N %M95    ,1
1180,e2730c00,N %M96    ,1
1181,e6730c00,N %M97    ,1
1182,ea730c00,N %M98    ,1
1183,ee730c00,N %M99    ,1
1184,f2730c00,N %M100    ,1
1185,f6730c00,N %M101    ,1
1186,fa730c00,N %M102    ,1
1187,fe730c00,N %M103    ,1
1188,e2730d00,N %M104    ,1
1189,e6730d00,N %M105    ,1
1190,ea730d00,N %M106    ,1
1191,ee730d00,N %M107    ,1
1192,f2730d00,N %M108    ,1
1193,f6730d00,N %M109    ,1
1194,fa730d00,N %M110    ,1
1195,fe730d00,N %M111    ,1
1196,e2730e00,N %M112    ,1
1197,e6730e00,N %M113    ,1
1198,ea730e00,N %M114    ,1
1199,ee730e00,N %M115    ,1
1200,f2730e00,N %M116    ,1
1201,f6730e00,N %M117    ,1
1202,fa730e00,N %M118    ,1
1203,fe730e00,N %M119    ,1
1204,e2730f00,N %M120    ,1
1205,e6730f00,N %M121    ,1
1206,ea730f00,N %M122    ,1
1207,ee730f00,N %M123    ,1
1208,f2730f00,N %M124    ,1
1209,f6730f00,N %M125    ,1
1210,fa730f00,N %M126    ,1
1211,fe730f00,N %M127    ,1
1212,e2731000,N %M128    ,1
1213,e6731000,N %M129    ,1
1214,ea731000,N %M130    ,1
1215,ee731000,N %M131    ,1
1216,f2731000,N %M132    ,1
1217,f6731000,N %M133    ,1
1218,fa731000,N %M134    ,1
1219,fe731000,N %M135    ,1
1220,e2731100,N %M136    ,1
1221,e6731100,N %M137    ,1
1222,ea731100,N %M138    ,1
1223,ee731100,N %M139    ,1
1224,f2731100,N %M140    ,1
1225,f6731100,N %M141    ,1
1226,fa731100,N %M142    ,1
1227,fe731100,N %M143    ,1
1228,e2731200,N %M144    ,1
1229,e6731200,N %M145    ,1
1230,ea731200,N %M146    ,1
1231,ee731200,N %M147    ,1
1232,f2731200,N %M148    ,1
1233,f6731200,N %M149    ,1
1234,fa731200,N %M150    ,1
1235,fe731200,N %M151    ,1
1236,e2731300,N %M152    ,1
1237,e6731300,N %M153    ,1
1238,ea731300,N %M154    ,1
1239,ee731300,N %M155    ,1
1240,f2731300,N %M156    ,1
1241,f6731300,N %M157    ,1
1242,fa731300,N %M158    ,1
1243,fe731300,N %M159    ,1
1244,e2731400,N %M160    ,1
1245,e6731400,N %M161    ,1
1246,ea731400,N %M162    ,1
1247,ee731400,N %M163    ,1
1248,f2731400,N %M164    ,1
1249,f6731400,N %M165    ,1
1250,fa731400,N %M166    ,1
1251,fe731400,N %M167    ,1
1252,e2731500,N %M168    ,1
1253,e6731500,N %M169    ,1
1254,ea731500,N %M170    ,1
1255,ee731500,N %M171    ,1
1256,f2731500,N %M172    ,1
1257,f6731500,N %M173    ,1
1258,fa731500,N %M174    ,1
1259,fe731500,N %M175    ,1
1260,e2731600,N %M176    ,1
1261,e6731600,N %M177    ,1
1262,ea731600,N %M178    ,1
1263,ee731600,N %M179    ,1
1264,f2731600,N %M180    ,1
1265,f6731600,N %M181    ,1
1266,fa731600,N %M182    ,1
1267,fe731600,N %M183    ,1
1268,e2731700,N %M184    ,1
1269,e6731700,N %M185    ,1
1270,ea731700,N %M186    ,1
1271,ee731700,N %M187    ,1
1272,f2731700,N %M188    ,1
1273,f6731700,N %M189    ,1
1274,fa731700,N %M190    ,1
1275,fe731700,N %M191    ,1
1276,e2731800,N %M192    ,1
1277,e6731800,N %M193    ,1
1278,ea731800,N %M194    ,1
1279,ee731800,N %M195    ,1
1280,f2731800,N %M196    ,1
1281,f6731800,N %M197    ,1
1282,fa731800,N %M198    ,1
1283,fe731800,N %M199    ,1
1284,e2731900,N %M200    ,1
1285,e6731900,N %M201    ,1
1286,ea731900,N %M202    ,1
1287,ee731900,N %M203    ,1
1288,f2731900,N %M204    ,1
1289,f6731900,N %M205    ,1
1290,fa731900,N %M206    ,1
1291,fe731900,N %M207    ,1
1292,e2731a00,N %M208    ,1
1293,e6731a00,N %M209    ,1
1294,ea731a00,N %M210    ,1
1295,ee731a00,N %M211    ,1
1296,f2731a00,N %M212    ,1
1297,f6731a00,N %M213    ,1
1298,fa731a00,N %M214    ,1
1299,fe731a00,N %M215    ,1
1300,e2731b00,N %M216    ,1
1301,e6731b00,N %M217    ,1
1302,ea731b00,N %M218    ,1
1303,ee731b00,N %M219    ,1
1304,f2731b00,N %M220    ,1
1305,f6731b00,N %M221    ,1
1306,fa731b00,N %M222    ,1
1307,fe731b00,N %M223    ,1
1308,e2731c00,N %M224    ,1
1309,e6731c00,N %M225    ,1
1310,ea731c00,N %M226    ,1
1311,ee731c00,N %M227    ,1
1312,f2731c00,N %M228    ,1
1313,f6731c00,N %M229    ,1
1314,fa731c00,N %M230    ,1
1315,fe731c00,N %M231    ,1
1316,e2731d00,N %M232    ,1
1317,e6731d00,N %M233    ,1
1318,ea731d00,N %M234    ,1
1319,ee731d00,N %M235    ,1
1320,f2731d00,N %M236    ,1
1321,f6731d00,N %M237    ,1
1322,fa731d00,N %M238    ,1
1323,fe731d00,N %M239    ,1
1324,e2731e00,N %M240    ,1
1325,e6731e00,N %M241    ,1
1326,ea731e00,N %M242    ,1
1327,ee731e00,N %M243    ,1
1328,f2731e00,N %M244    ,1
1329,f6731e00,N %M245    ,1
1330,fa731e00,N %M246    ,1
1331,fe731e00,N %M247    ,1
1332,e2731f00,N %M248    ,1
1333,e6731f00,N %M249    ,1
1334,ea731f00,N %M250    ,1
1335,ee731f00,N %M251    ,1
1336,f2731f00,N %M252    ,1
1337,f6731f00,N %M253    ,1
1338,fa731f00,N %M254    ,1
1339,fe731f00,N %M255    ,1
1340,e2732000,N %M256    ,1
1341,e6732000,N %M257    ,1
1342,ea732000,N %M258    ,1
1343,ee732000,N %M259    ,1
1344,f2732000,N %M260    ,1
1345,f6732000,N %M261    ,1
1346,fa732000,N %M262    ,1
1347,fe732000,N %M263    ,1
1348,e2732100,N %M264    ,1
1349,e6732100,N %M265    ,1
1350,ea732100,N %M266    ,1
1351,ee732100,N %M267    ,1
1352,f2732100,N %M268    ,1
1353,f6732100,N %M269    ,1
1354,fa732100,N %M270    ,1
